case_id,failure_case,description,reviewer_attack,v5_response,remaining_blocker
F01,unseen_liquid_contact,Boundary case for energy-landscape skill composition: unseen_liquid_contact.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,composer rejects all known basins,energy landscapes do not cover fluid interaction skills
F02,broken_skill_primitive,Boundary case for energy-landscape skill composition: broken_skill_primitive.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,composition should abstain,composition cannot repair a missing low-level skill
F03,semantic_goal_conflict,Boundary case for energy-landscape skill composition: semantic_goal_conflict.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,energy compatibility should not resolve instruction conflict,language grounding is out of scope
F04,hard_real_time_interrupt,Boundary case for energy-landscape skill composition: hard_real_time_interrupt.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,high-cost search becomes infeasible,latency constraints need a separate scheduler
F05,compound_nonconservative_contact,Boundary case for energy-landscape skill composition: compound_nonconservative_contact.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,composer abstains or requests a new landscape fit,nonconservative contact can invalidate scalar-energy seams
F06,actuator_torque_saturation,Boundary case for energy-landscape skill composition: actuator_torque_saturation.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,barrier repair should flag infeasible descent,energy compatibility is not actuator feasibility
F07,delayed_human_intervention,Boundary case for energy-landscape skill composition: delayed_human_intervention.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,handoff should be re-evaluated after state changes,exogenous interventions require online replanning
F08,adversarial_energy_model_miscalibration,Boundary case for energy-landscape skill composition: adversarial_energy_model_miscalibration.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,composer should reject low-confidence energy estimates,miscalibrated energies can make unsafe seams look compatible
F09,narrow_basin_aliasing,Boundary case for energy-landscape skill composition: narrow_basin_aliasing.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,keep multiple basin hypotheses active,single-basin handoff can be wrong
F10,barrier_hidden_by_partial_observability,Boundary case for energy-landscape skill composition: barrier_hidden_by_partial_observability.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,probe before accepting the seam,unseen barriers defeat local descent checks
F11,contact_mode_flip_after_handoff,Boundary case for energy-landscape skill composition: contact_mode_flip_after_handoff.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,re-evaluate the seam after contact mode changes,post-handoff transitions can invalidate certificates
F12,terminal_sampler_mode_collapse,Boundary case for energy-landscape skill composition: terminal_sampler_mode_collapse.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,diversify terminal-state samples,sampler collapse can overstate basin overlap
F13,repair_cost_explosion,Boundary case for energy-landscape skill composition: repair_cost_explosion.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,prefer abstention over unsafe repair,repair cost must remain in the objective
F14,dmp_stability_mismatch,Boundary case for energy-landscape skill composition: dmp_stability_mismatch.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,stable primitives still need seam compatibility,individual stability does not guarantee composition
F15,tamp_feasible_energy_unsafe,Boundary case for energy-landscape skill composition: tamp_feasible_energy_unsafe.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,feasibility screen must include energy risk,geometric feasibility can cross high barriers
F16,diffusion_stitcher_high_energy_sample,Boundary case for energy-landscape skill composition: diffusion_stitcher_high_energy_sample.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,reject high-energy generated seams,generative stitching can hallucinate unsafe handoffs
F17,residual_rl_reward_shortcut,Boundary case for energy-landscape skill composition: residual_rl_reward_shortcut.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,audit seam metrics separately,success reward can hide barrier violations
F18,oracle_gap_under_compound_stress,Boundary case for energy-landscape skill composition: oracle_gap_under_compound_stress.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,report privileged gap,local composer is useful but not saturated
F19,skill_library_missing_bridge,Boundary case for energy-landscape skill composition: skill_library_missing_bridge.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,request a new bridge skill,composition cannot invent missing primitives
F20,camera_latency_energy_shift,Boundary case for energy-landscape skill composition: camera_latency_energy_shift.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,include latency in external logs,local landscapes ignore some hardware delays
F21,force_control_unmodeled_work,Boundary case for energy-landscape skill composition: force_control_unmodeled_work.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,reject nonconservative work cycles,energy functions may not model all contact work
F22,real_robot_compliance_shift,Boundary case for energy-landscape skill composition: real_robot_compliance_shift.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,replicate with calibrated contact logs,local compliance may not transfer
F23,baseline_wrapper_mismatch,Boundary case for energy-landscape skill composition: baseline_wrapper_mismatch.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,use identical observations and skill library,unfair wrappers can fake gains
F24,human_safety_override,Boundary case for energy-landscape skill composition: human_safety_override.,A hostile reviewer can use this case to test whether local seam evidence is overclaimed.,allow human override and mark non-autonomous,autonomous composition is not always appropriate
