rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.3390/agronomy15010190,Organic Fertilization Leads to N Limitation Rather than P Limitation in Both Vegetable Soils,2025,Agronomy,https://doi.org/10.3390/agronomy15010190,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1101/2025.05.01.651643,Towards Unraveling Biomolecular Conformational Landscapes with a Generative Foundation Model,,,https://doi.org/10.1101/2025.05.01.651643,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.21203/rs.3.rs-9082476/v1,Systematic evaluation of single-cell foundation model interpretability reveals attention captures co-expression rather than unique regulatory signal,,,https://doi.org/10.21203/rs.3.rs-9082476/v1,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1088/1742-6596/2623/1/012015,Validity of Teaching Modules with Problem-Based Learning (PBL) Model Assisted by E-Book to Improve Problem-Solving Skills on Renewable Energy Material and Implementation of Independent Learning Curriculum,2023,Journal of Physics: Conference Series,https://doi.org/10.1088/1742-6596/2623/1/012015,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1126/scirobotics.adp0751,Development of compositionality through interactive learning of language and action of robots,2025,Science Robotics,https://doi.org/10.1126/scirobotics.adp0751,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1177/02783649231179499,Composable energy policies for reactive motion generation and reinforcement learning,2023,The International Journal of Robotics Research,https://doi.org/10.1177/02783649231179499,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1371/journal.pone.0215599,Whole-body dual-energy X-ray absorptiometry demonstrates better reliability than segmental body composition analysis in college-aged students,2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0215599,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1016/j.rcim.2025.102983,Generalizing kinematic skill learning to energy efficient dynamic motion planning using optimized Dynamic Movement Primitives,2025,Robotics and Computer-Integrated Manufacturing,https://doi.org/10.1016/j.rcim.2025.102983,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/access.2024.3402089,Bidirectional Progressive Neural Networks With Episodic Return Progress for Emergent Task Sequencing and Robotic Skill Transfer,2024,IEEE Access,https://doi.org/10.1109/access.2024.3402089,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1109/tpel.2017.2700083,Online Energy Management Systems for Microgrids: Experimental Validation and Assessment Framework,2017,IEEE Transactions on Power Electronics,https://doi.org/10.1109/tpel.2017.2700083,Addresses energy-based robot skill learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy landscape skill composition keeps action-critical alternatives explicit until a physical observation collapses them.
